transaction_id,amount,payment_method,failure_reason,customer_age_days,previous_successful_payments,previous_failed_payments,retry_count,time_since_failure_hours,customer_avg_amount,is_subscription,recovered,total_previous_payments,customer_success_rate,customer_failure_rate,amount_deviation,retry_pressure,recovery_probability,recommended_action,priority,expected_recovery,retry_allowed,measured_recovery_amount
TXN000001,1234.01,UPI,Expired Card,149,26,2,4,18.37,379.19,1,0,28,0.896551724137931,0.0689655172413793,2.2484021147321074,0.2065049044914816,0.3016582444022525,STOP RETRY,LOW,372.2492901748236,False,0.0
TXN000002,596.67,Wallet,Authentication Failed,1868,18,9,4,1.18,1963.14,1,1,27,0.6428571428571429,0.3214285714285714,0.6957090635087113,1.8348623853211008,0.2830873430570054,STOP RETRY,LOW,168.9097249818234,False,596.67
TXN000003,1180.56,Card,Limit Exceeded,1582,10,5,3,29.83,677.58,0,1,15,0.625,0.3125,0.7412243213769929,0.0973078170613039,0.202314662527912,STOP RETRY,LOW,238.84459799395188,False,1180.56
TXN000004,2989.08,Card,Limit Exceeded,570,27,6,0,22.64,1668.72,1,0,33,0.7941176470588235,0.1764705882352941,0.7907673142802385,0.0,0.5156895401651362,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,1541.4372907168054,True,0.0
TXN000005,1321.48,UPI,Expired Card,77,28,6,1,30.83,1308.99,0,0,34,0.8,0.1714285714285714,0.0095344239269002,0.0314169022934338,0.3275750878922948,AVOID RETRY,LOW,432.8839271479097,False,0.0
TXN000006,1375.52,UPI,Expired Card,1439,26,3,0,35.09,1543.56,0,1,29,0.8666666666666667,0.1,0.108794737659916,0.0,0.547550700667508,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,753.1669397821706,True,1375.52
TXN000007,541.68,UPI,Authentication Failed,830,21,4,2,45.14,1098.12,1,1,25,0.8076923076923077,0.1538461538461538,0.5062595530970231,0.0433463372345036,0.4320472368696214,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,234.0313472675365,True,541.68
TXN000008,7854.63,Net Banking,Network Error,1181,17,3,1,3.02,1245.67,0,1,20,0.8095238095238095,0.1428571428571428,5.301290638260325,0.2487562189054726,0.5431262673376769,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,4266.055873218537,True,7854.63
TXN000009,573.43,Card,Authentication Failed,1555,18,3,2,20.22,545.49,1,0,21,0.8181818181818182,0.1363636363636363,0.0511262786144301,0.0942507068803016,0.654774741396798,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,375.4674799591658,True,0.0
TXN000010,206.9,Card,Network Error,1500,18,4,1,43.01,2754.31,0,1,22,0.782608695652174,0.1739130434782608,0.9245456954026952,0.0227221086116791,0.5812968091356516,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,120.27030981016632,True,206.9
TXN000011,2592.0,UPI,Network Error,1633,14,7,3,35.72,1503.58,0,0,21,0.6363636363636364,0.3181818181818182,0.7234045381435351,0.0816993464052287,0.3816018791699119,STOP RETRY,LOW,989.1120708084118,False,0.0
TXN000012,977.68,Wallet,Network Error,1038,19,7,0,24.37,625.64,1,1,26,0.7037037037037037,0.2592592592592592,0.5617898633984424,0.0,0.6512972224427364,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,636.7602684378145,True,977.68
TXN000013,809.94,Net Banking,Authentication Failed,68,17,3,4,29.46,748.05,0,0,20,0.8095238095238095,0.1428571428571428,0.0826246579000068,0.1313197636244254,0.2217389811593633,STOP RETRY,LOW,179.59527040021473,False,0.0
TXN000014,635.52,UPI,Insufficient Funds,502,25,2,3,31.11,1308.77,1,1,27,0.8928571428571429,0.0714285714285714,0.5140215457675775,0.0934288383681096,0.4130550951917362,STOP RETRY,LOW,262.5047740962522,False,635.52
TXN000015,7127.49,UPI,Insufficient Funds,1186,28,5,1,21.79,972.97,0,0,33,0.8235294117647058,0.1470588235294117,6.319003665410638,0.0438788942518648,0.1996232560405941,AVOID RETRY,LOW,1422.8127611967743,False,0.0
TXN000016,1563.36,UPI,Limit Exceeded,1172,19,2,2,47.49,3555.91,1,1,21,0.8636363636363636,0.0909090909090909,0.5601912896306064,0.0412456176531243,0.5572133862602645,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,871.1251195438471,True,1563.36
TXN000017,1900.27,UPI,Insufficient Funds,353,15,4,0,36.65,1180.68,1,0,19,0.75,0.2,0.6089550470516552,0.0,0.4468382802854989,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,849.1133788781251,True,0.0
TXN000018,1290.28,Card,Insufficient Funds,81,23,5,0,38.15,1627.24,0,0,28,0.7931034482758621,0.1724137931034483,0.2069473787648012,0.0,0.3396912702441637,AVOID RETRY,LOW,438.2968521706395,False,0.0
TXN000019,1436.62,Card,Network Error,977,17,4,2,13.4,1270.41,0,1,21,0.7727272727272727,0.1818181818181818,0.1307288758150398,0.1388888888888889,0.738961166937821,RETRY PAYMENT IMMEDIATELY,HIGH,1061.6063916462124,True,1436.62
TXN000020,4440.95,UPI,Network Error,1978,23,3,3,41.16,611.95,0,0,26,0.8518518518518519,0.1111111111111111,6.246839057019332,0.0711574952561669,0.3333106347512357,STOP RETRY,LOW,1480.2158633985002,False,0.0
TXN000021,853.33,Card,Expired Card,962,18,2,3,21.95,1022.19,0,0,20,0.8571428571428571,0.0952380952380952,0.1650328873425268,0.130718954248366,0.2493967586375561,STOP RETRY,LOW,212.8177360481858,False,0.0
TXN000022,255.46,UPI,Network Error,165,20,5,4,40.85,1356.61,0,1,25,0.7692307692307693,0.1923076923076923,0.8110944969468403,0.09557945041816,0.4218508161828379,STOP RETRY,LOW,107.76600950206776,False,255.46
TXN000023,2612.48,UPI,Authentication Failed,1457,20,2,0,12.61,567.14,1,0,22,0.8695652173913043,0.0869565217391304,3.60006336466364,0.0,0.5547637017858094,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,1449.3090756413912,True,0.0
TXN000024,1802.09,UPI,Expired Card,1812,17,1,4,39.88,1921.79,0,0,18,0.8947368421052632,0.0526315789473684,0.062253288190598,0.0978473581213307,0.2604221507547326,STOP RETRY,LOW,469.3041536535961,False,0.0
TXN000025,1221.68,Card,Expired Card,198,16,5,1,0.68,678.18,1,0,21,0.7272727272727273,0.2272727272727272,0.8002296887423072,0.5952380952380952,0.3971973949393212,SUGGEST ALTERNATIVE PAYMENT METHOD,MEDIUM,485.24811344947005,True,0.0
TXN000026,1755.93,Net Banking,Insufficient Funds,1635,27,2,2,20.48,395.22,0,1,29,0.9,0.0666666666666666,3.4342284589369543,0.0931098696461825,0.2363187427735432,AVOID RETRY,LOW,414.9591699983478,False,1755.93
TXN000027,756.92,UPI,Network Error,1601,21,5,4,23.04,1714.44,0,0,26,0.7777777777777778,0.1851851851851851,0.5581774938208274,0.1663893510815308,0.4528364189030369,STOP RETRY,LOW,342.76094219608666,False,0.0
