transaction_id,amount,payment_method,failure_reason,customer_age_days,previous_successful_payments,previous_failed_payments,retry_count,time_since_failure_hours,customer_avg_amount,is_subscription,recovered
TXN000001,531.96,UPI,Bank Decline,923,23,6,0,7.59,2732.71,1,1
TXN000002,1858.25,Wallet,Bank Decline,722,22,7,1,21.34,1373.98,0,0
TXN000003,3553.37,Card,Insufficient Funds,1308,9,0,2,7.21,913.46,0,1
TXN000004,363.5,Card,Network Error,545,13,7,0,2.59,2397.97,0,1
TXN000005,5120.86,UPI,Network Error,91,18,2,1,15.5,1180.09,0,0
TXN000006,976.82,UPI,Authentication Failed,1365,14,8,2,58.63,2081.49,1,1
TXN000007,455.99,UPI,Insufficient Funds,447,25,4,4,9.59,3320.04,1,1
TXN000008,2168.91,Net Banking,Expired Card,796,19,2,2,45.02,1169.69,0,0
TXN000009,733.77,Card,Limit Exceeded,1202,14,3,0,42.47,677.25,1,0
TXN000010,1018.86,Card,Limit Exceeded,345,12,6,0,19.87,1183.85,1,0
TXN000011,762.15,UPI,Authentication Failed,1259,16,5,1,1.31,772.9,0,1
TXN000012,525.81,Wallet,Expired Card,1209,20,4,1,19.1,620.94,0,0
TXN000013,2104.0,Net Banking,Authentication Failed,1277,15,4,1,16.09,243.55,1,1
TXN000014,847.53,UPI,Bank Decline,1010,17,3,1,15.67,504.03,1,1
TXN000015,300.97,UPI,Network Error,680,20,4,0,7.44,1719.21,1,1
TXN000016,1800.74,UPI,Insufficient Funds,736,18,2,4,24.99,1560.3,0,0
TXN000017,370.55,UPI,Insufficient Funds,323,21,8,1,38.61,435.35,0,0
TXN000018,388.41,Card,Bank Decline,1316,14,2,1,20.22,829.93,0,1
TXN000019,3207.82,Card,Insufficient Funds,82,16,1,1,2.88,1439.67,0,1
TXN000020,373.64,UPI,Bank Decline,980,24,9,1,27.64,637.44,1,0
TXN000021,136.35,Card,Insufficient Funds,1005,14,4,2,3.06,812.29,0,1
TXN000022,1920.95,UPI,Insufficient Funds,1482,15,4,0,28.96,947.93,0,0
TXN000023,834.24,UPI,Authentication Failed,210,27,6,3,16.85,1021.33,0,1
TXN000024,901.55,UPI,Insufficient Funds,430,22,1,0,7.55,870.49,0,1
TXN000025,826.29,Card,Limit Exceeded,199,13,4,1,15.05,848.36,0,0
TXN000026,1350.87,Net Banking,Insufficient Funds,1323,24,5,0,31.2,570.29,1,0
TXN000027,556.99,UPI,Authentication Failed,903,21,2,1,12.9,944.51,1,1
TXN000028,4140.22,Card,Authentication Failed,787,14,3,2,11.65,1369.41,0,1
TXN000029,290.44,Card,Expired Card,1443,23,1,0,4.29,1377.49,0,1
TXN000030,1636.62,UPI,Expired Card,1469,24,2,0,8.2,1140.91,1,1
TXN000031,1954.54,Card,Insufficient Funds,307,16,4,1,13.2,478.88,0,1
TXN000032,553.53,UPI,Authentication Failed,266,12,6,0,2.18,773.93,1,0
TXN000033,436.43,UPI,Authentication Failed,1222,19,6,0,22.44,1178.09,0,0
TXN000034,2739.3,Net Banking,Authentication Failed,1301,18,4,2,40.55,1633.14,0,1
TXN000035,449.54,Wallet,Expired Card,1010,21,3,1,28.12,771.56,1,1
TXN000036,635.24,Net Banking,Bank Decline,622,14,7,1,11.99,6056.44,1,0
TXN000037,2437.13,UPI,Authentication Failed,438,21,7,1,0.15,3732.79,1,1
TXN000038,1131.46,UPI,Bank Decline,722,23,6,0,10.96,284.71,0,1
TXN000039,217.58,Card,Network Error,702,14,4,3,2.38,2181.01,1,0
